Size,prompt_name,Function,Min,Average,Max,Minimum Average,Percentage
10000,prompt_4,p8_reverse_list,0.0002275,0.005001056,0.0354666,0.003041698,64.41658875
100000,prompt_4,p8_reverse_list,0.0022013,0.059761798,0.3351143,0.039406795,51.65353616
1000,prompt_5,p8_reverse_list,2.59E-05,0.001452028,0.0050847,0.000298761,386.0168929
10000,prompt_5,p8_reverse_list,0.000225,0.014322201,0.0460053,0.003041698,370.8620662
100000,prompt_5,p8_reverse_list,0.0021976,0.149588557,0.4204325,0.039406795,279.6009182
1000,prompt_6,p8_reverse_list,2.71E-05,8.576376055,600,0.000298761,2870549.956
10000,prompt_6,p8_reverse_list,0.0002343,8.632893315,600,0.003041698,283718.2378
100000,prompt_6,p8_reverse_list,0.0022102,17.66326306,600,0.039406795,44722.88638
1000,prompt_7,p8_reverse_list,1.69E-05,0.001005959,0.013144,0.000298761,236.7105485
10000,prompt_7,p8_reverse_list,1.64E-05,0.010045291,0.1245318,0.003041698,230.252763
100000,prompt_7,p8_reverse_list,1.67E-05,0.110528897,1.5217864,0.039406795,180.4818214
1000,prompt_1,p9_count_frequency,0.002307,0.007907262,0.4471595,0.00360194,119.5278709
10000,prompt_1,p9_count_frequency,0.0274326,6.040893399,600,0.040066973,14976.98978
100000,prompt_1,p9_count_frequency,0.594882,6.762177931,600,0.756507061,793.8684488
1000,prompt_2,p9_count_frequency,0.0023015,0.00360194,0.0101661,0.00360194,0
10000,prompt_2,p9_count_frequency,0.0269805,0.040066973,0.0792691,0.040066973,0
100000,prompt_2,p9_count_frequency,0.5914573,0.756507061,1.0721184,0.756507061,0
1000,prompt_3,p9_count_frequency,0.0023142,0.003884835,0.0125496,0.00360194,7.853954561
10000,prompt_3,p9_count_frequency,0.0268053,0.042940859,0.1382028,0.040066973,7.172706909
100000,prompt_3,p9_count_frequency,0.592297,0.77939366,2.0144338,0.756507061,3.025298818
1000,prompt_4,p9_count_frequency,0.0023274,0.003976084,0.0147856,0.00360194,10.38729695
10000,prompt_4,p9_count_frequency,0.0270512,0.043616272,0.1452449,0.040066973,8.858417331
100000,prompt_4,p9_count_frequency,0.5896549,0.785978593,1.2075789,0.756507061,3.895737847
1000,prompt_5,p9_count_frequency,0.0023292,0.014765934,1.0963473,0.00360194,309.9439374
10000,prompt_5,p9_count_frequency,0.0273935,0.05545412,1.2216024,0.040066973,38.40356779
100000,prompt_5,p9_count_frequency,0.593848,0.805669966,2.1517851,0.756507061,6.49867101
1000,prompt_6,p9_count_frequency,0.0024245,0.094125244,5.8189123,0.00360194,2513.181978
